score,area,area_rank,title,company,location,location_tier,work_mode,employment_type,seniority,areas,flags,source,posted_at,first_seen_at,url
40,hr,3,HR Business Partner Plant (m/ž),Henkel Maribor d.o.o.,Maribor,other,unknown,fixed-term,junior,hr,,mojedelo,2026-08-30,2026-09-15T18:28:18.605Z,https://www.mojedelo.com/job-ad/hr-business-partner-plant-m-z/cc989f6a-f802-4d42-849a-fc88424036b5
40,ld,1,Organizator/Strokovnjak za razvoj kadrov (m/ž),Alpacem Slovenija,"Anhovo, Nova Gorica, Slovenia",other,unknown,unknown,unknown,ld,,linkedin,2026-02-27,2026-09-15T18:28:18.605Z,https://si.linkedin.com/jobs/view/organizator-strokovnjak-za-razvoj-kadrov-m-%C5%BE-at-alpacem-slovenija-4375947999
40,projects,2,Referent za kadre,Valina d.o.o.,Ljubljana,ljubljana,unknown,unknown,junior,projects,"body:obračun plač,body:kadrovske evidence",mojedelo,2026-08-18,2026-09-15T18:28:18.605Z,https://www.mojedelo.com/job-ad/referent-za-kadre/ad1dc9f4-d6c1-47d7-8363-e2b67d4d0165
40,projects,2,SAMOSTOJNI STROKOVNI DELAVEC VII/I - M/Ž,LJUDSKA UNIVERZA RAVNE NA KOROŠKEM,RAVNE NA KOROŠKEM,other,unknown,part-time,unknown,projects,,zrsz,2026-09-14,2026-09-15T18:28:18.605Z,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3478131/#/pdm/3478131
39,hr,3,KADROVIK  VII/2 (II) - M/Ž,Dom na Krasu,SEŽANA,other,unknown,permanent,junior,hr,body:arhiviranje,zrsz,2026-09-09,2026-09-15T18:28:18.605Z,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3476011/#/pdm/3476011
39,eu-projects,5,"VIŠJI SVETOVALEC ZA CESTE V URADU ZA INFRASTRUKTURO, ODDELKU ZA PROMET IN MOBILNOST - M/Ž",MESTNA OBČINA NOVO MESTO,NOVO MESTO,other,unknown,permanent,unknown,eu-projects,,zrsz,2026-08-28,2026-09-15T18:28:18.605Z,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3469601/#/pdm/3469601
36,content-comms,7,Community Manager (m/ž),WCC d.o.o.,Ljubljana,ljubljana,unknown,unknown,unknown,content-comms,,mojedelo,2026-09-10,2026-09-15T18:28:18.605Z,https://www.mojedelo.com/job-ad/community-manager-m-z/b2d1ccb2-32a5-4f56-8a8f-4e8b8602dd45
36,content-comms,7,Digital Marketing & Social Media Specialist,Ultrasonic cleaners ASONIC,"Ljubljana, Ljubljana, Slovenia",ljubljana,unknown,unknown,unknown,content-comms,,linkedin,2026-09-07,2026-09-15T18:28:18.605Z,https://si.linkedin.com/jobs/view/digital-marketing-social-media-specialist-at-ultrasonic-cleaners-asonic-4462245332
36,hr,3,Kadrovski in pisarniški administrator – občasno delo za upokojence (m/ž),GMP PLUS d.o.o.,Ljubljana,ljubljana,unknown,unknown,unknown,hr,"body:vodenje evidenc,body:arhiviranje",mojedelo,2026-09-13,2026-09-15T18:28:18.605Z,https://www.mojedelo.com/job-ad/kadrovski-in-pisarniski-administrator-obcasno-delo-za-upokojence-m-z/6a7d80e3-2da8-49ea-ad75-ed10a39a9986
36,content-comms,7,Niamito Social Media Specialist,LoginEKO,"City Municipality of Ljubljana, Slovenia",ljubljana,unknown,unknown,unknown,content-comms,,linkedin,2026-09-02,2026-09-15T18:28:18.605Z,https://si.linkedin.com/jobs/view/niamito-social-media-specialist-at-logineko-4462119936
