score,area,title,company,location,work_mode,employment_type,seniority,areas,source,posted_at,url
40,ld,Pomočnik vzgojitelja (m/ž),MONTESSORI UČNI CENTER,Ljubljana,onsite,unknown,junior,ld,mojedelo,2026-09-16,https://www.mojedelo.com/job-ad/pomocnik-vzgojitelja-m-z/3cd8686a-9503-45c8-bd21-b1d6b5ddb94d
40,ld,Priložnost za vodstvene pozicije (m/ž),ADECCO H.R. d.o.o.,ljubljana,onsite,unknown,unknown,ld,mojedelo,2026-08-16,https://www.mojedelo.com/job-ad/priloznost-za-vodstvene-pozicije-m-z/f579725f-ff20-46df-958f-50471a183974
40,ld,Višji/-a vodja kadrovanja (m/ž) / Senior HR Manager (m/ž),Kaching d.o.o.,Ljubljana,onsite,unknown,senior,ld,mojedelo,2026-09-09,https://www.mojedelo.com/job-ad/visji-a-vodja-kadrovanja-m-z-senior-hr-manager-m-z/cf8701ee-a58a-4eea-986b-ff7319605f9a
40,ld,Vodja poslovalnice Grosuplje (m/ž),NLB d.d.,Grosuplje,hybrid,unknown,senior,ld,mojedelo,2026-09-20,https://www.mojedelo.com/job-ad/vodja-poslovalnice-grosuplje-m-z/04c23150-82b2-4f6e-ad3f-d8dc4625c4e6
36,projects,Koordinator projektov – prodaja in marketing (m/ž),Panakea d.o.o.,Ljubljana,onsite,unknown,junior,projects,mojedelo,2026-09-23,https://www.mojedelo.com/job-ad/koordinator-projektov-prodaja-in-marketing-m-z/a4ed63e3-e0e0-40e7-a34a-e78387de471f
36,projects,Niamito Marketing Project Coordinator,LoginEKO,"City Municipality of Ljubljana, Slovenia",onsite,unknown,unknown,projects,linkedin,2026-08-31,https://si.linkedin.com/jobs/view/niamito-marketing-project-coordinator-at-logineko-4461051741
36,projects,Project Manager,Kaching d.o.o.,Ljubljana,onsite,unknown,unknown,projects,mojedelo,2026-09-02,https://www.mojedelo.com/job-ad/project-manager/1473a89d-f06e-485e-8110-26f532ea7886
36,projects,Project Manager / Business Analyst,Mikrocop,"Ljubljana, Ljubljana, Slovenia",onsite,unknown,unknown,projects,linkedin,2026-08-25,https://si.linkedin.com/jobs/view/project-manager-business-analyst-at-mikrocop-4450474390
36,projects,Projektni vodja (m/ž) - Ljubljana,Danfoss Trata d.o.o.,Ljubljana,onsite,unknown,senior,projects,mojedelo,2026-09-20,https://www.mojedelo.com/job-ad/projektni-vodja-m-z-ljubljana/3255cbee-c33c-43a7-abd2-cf803c161c7d
36,projects,Projektni vodja tehničnega varovanja (m/ž) - Ljubljana,AGADO d.o.o.,Ljubljana,onsite,unknown,senior,projects,mojedelo,2026-09-21,https://www.mojedelo.com/job-ad/projektni-vodja-tehnicnega-varovanja-m-z-ljubljana/a2427026-835b-491e-b998-4e5b4f5dd3a5
36,projects,Višji produktni vodja za inovacije in strateški razvoj,"A1 Slovenija, d. d.",Ljubljana,onsite,unknown,senior,projects,mojedelo,2026-09-08,https://www.mojedelo.com/job-ad/visji-produktni-vodja-za-inovacije-in-strateski-razvoj/ddb876a4-25e7-479b-a5bb-838351bbb52a
32,hr,HR Generalist (m/f),Teknoxgroup,"Grosuplje, Slovenia",onsite,unknown,unknown,hr,linkedin,2026-09-14,https://si.linkedin.com/jobs/view/hr-generalist-m-f-at-teknoxgroup-4465219265
32,hr,HR Generalist/Kadrovski specialist,Lindstrom d.o.o.,Logatec,onsite,unknown,unknown,hr,mojedelo,2026-09-21,https://www.mojedelo.com/job-ad/hr-generalist-kadrovski-specialist/81537cea-a720-49ca-b033-d6775e9fbedb
32,hr,HR Manager - Strokovnjak za kadre,PeK AUTOMOTIVE d.o.o.,Logatec,onsite,unknown,unknown,"hr,employer-brand",mojedelo,2026-09-21,https://www.mojedelo.com/job-ad/hr-manager-strokovnjak-za-kadre/22b6c34f-0f2c-46d4-b0db-21d0a409549f
32,hr,People Operations Specialist,DevRev,"Ljubljana, Ljubljana, Slovenia",onsite,unknown,unknown,hr,linkedin,2026-09-22,https://si.linkedin.com/jobs/view/people-operations-specialist-at-devrev-4469030165
32,hr,Recruiter (m/ž),WCC d.o.o.,Ljubljana,onsite,unknown,unknown,"hr,employer-brand",mojedelo,2026-09-10,https://www.mojedelo.com/job-ad/recruiter-m-z/92b05ca8-8db6-41a7-aa20-800bbe55d312
32,eu-projects,"STROKOVNI SODELAVEC V TEHNOLOŠKEM ODDELKU NA PODROČJU VODENJA EU PROJEKTA RED&PRO, KI ZAJEMA DELO V ZELENEM LABU - M/Ž",Kreativno središče Center Rog,LJUBLJANA,onsite,fixed-term,senior,eu-projects,zrsz,2026-08-24,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3466622/#/pdm/3466622
32,hr,Talent Acquisition Partner,Paymentology,"Ig, Ljubljana, Slovenia",onsite,unknown,unknown,hr,linkedin,2026-08-25,https://si.linkedin.com/jobs/view/talent-acquisition-partner-at-paymentology-4458768461
32,ld,Vodja kadrov in splošnih zadev (m/ž),BKS BANK AG,Ljubljana,onsite,unknown,senior,ld,mojedelo,2026-09-23,https://www.mojedelo.com/job-ad/vodja-kadrov-in-splosnih-zadev-m-z/7ebb6e45-d3e5-4005-830f-a9fe3f7e482d
27,ld,"PODSEKRETAR ZA SISTEMSKA VPRAŠANJA (410002), SEKRETARIAT GENERALNEGA SEKRETARJA, SLUŽBA ZA KADROVSKE ZADEVE - M/Ž",MINISTRSTVO ZA OBRAMBO,Ljubljana,onsite,permanent,unknown,ld,zrsz,2026-09-11,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=CZK00300/#/pdm/CZK00300
27,ld,"SAMOSTOJNI SVETOVALEC I – OBMOČNA SLUŽBA LJUBLJANA, URAD ZA DELO LJUBLJANA - M/Ž",ZAVOD REPUBLIKE SLOVENIJE ZA ZAPOSLOVANJE,LJUBLJANA,onsite,permanent,mid,ld,zrsz,2026-09-04,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3472541/#/pdm/3472541
27,ld,SEKRETAR STANOVANJSKEGA SKLADA RS - M/Ž,"STANOVANJSKI SKLAD REPUBLIKE SLOVENIJE, JAVNI SKLAD",LJUBLJANA,onsite,permanent,senior,ld,zrsz,2026-09-16,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3480102/#/pdm/3480102
23,projects,PODROČNI SVETOVALEC I - M/Ž,"Javni zavod za kulturo, mladino in šport Litija",LITIJA,onsite,permanent,senior,projects,zrsz,2026-09-08,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3474164/#/pdm/3474164
20,projects,Referent za kadre,Valina d.o.o.,Ljubljana,onsite,unknown,junior,projects,mojedelo,2026-08-18,https://www.mojedelo.com/job-ad/referent-za-kadre/ad1dc9f4-d6c1-47d7-8363-e2b67d4d0165
20,ld,"SAMOSTOJNI SVETOVALEC I – OBMOČNA SLUŽBA LJUBLJANA, URAD ZA DELO DOMŽALE, KAMNIK - M/Ž",ZAVOD REPUBLIKE SLOVENIJE ZA ZAPOSLOVANJE,DOMŽALE,onsite,fixed-term,mid,ld,zrsz,2026-09-04,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3472366/#/pdm/3472366
20,ld,"SAMOSTOJNI SVETOVALEC I – OBMOČNA SLUŽBA LJUBLJANA, URAD ZA DELO VRHNIKA, LOGATEC, CERKNICA - M/Ž",ZAVOD REPUBLIKE SLOVENIJE ZA ZAPOSLOVANJE,VRHNIKA,onsite,fixed-term,mid,ld,zrsz,2026-09-07,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3473637/#/pdm/3473637
20,ld,VIŠJI SVETOVALEC PODROČJA III - M/Ž,"Javni štipendijski, razvojni, invalidski in preživninski sklad Republike Slovenije",LJUBLJANA,onsite,fixed-term,junior,ld,zrsz,2026-09-24,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3484335/#/pdm/3484335
16,content-comms,Brand Content Specialist,Philip Morris International,"Ljubljana, Ljubljana, Slovenia",onsite,unknown,unknown,content-comms,linkedin,2026-08-28,https://si.linkedin.com/jobs/view/brand-content-specialist-at-philip-morris-international-4460512459
16,content-comms,Community Manager (m/ž),WCC d.o.o.,Ljubljana,onsite,unknown,unknown,content-comms,mojedelo,2026-09-10,https://www.mojedelo.com/job-ad/community-manager-m-z/b2d1ccb2-32a5-4f56-8a8f-4e8b8602dd45
16,content-comms,Digital Marketing & Social Media Specialist,Ultrasonic cleaners ASONIC,"Ljubljana, Ljubljana, Slovenia",onsite,unknown,unknown,content-comms,linkedin,2026-09-07,https://si.linkedin.com/jobs/view/digital-marketing-social-media-specialist-at-ultrasonic-cleaners-asonic-4462245332
16,hr,Kadrovski in pisarniški administrator – občasno delo za upokojence (m/ž),GMP PLUS d.o.o.,Ljubljana,onsite,unknown,unknown,hr,mojedelo,2026-09-13,https://www.mojedelo.com/job-ad/kadrovski-in-pisarniski-administrator-obcasno-delo-za-upokojence-m-z/6a7d80e3-2da8-49ea-ad75-ed10a39a9986
16,content-comms,Niamito Social Media Specialist,LoginEKO,"City Municipality of Ljubljana, Slovenia",onsite,unknown,unknown,content-comms,linkedin,2026-09-02,https://si.linkedin.com/jobs/view/niamito-social-media-specialist-at-logineko-4462119936
16,content-comms,Regional Marketing Coordinator,Transoft Solutions Inc.,"Ig, Ljubljana, Slovenia",onsite,unknown,unknown,content-comms,linkedin,2026-09-23,https://si.linkedin.com/jobs/view/regional-marketing-coordinator-at-transoft-solutions-inc-4469335168
16,projects,STROKOVNI DELAVEC V RAZISKOVALNI DEJAVNOSTI VII/2-II NA PODROČJU PROJEKTNE PODPORE (H037006) - M/Ž,ZAVOD ZA GRADBENIŠTVO SLOVENIJE,LJUBLJANA,onsite,fixed-term,junior,projects,zrsz,2026-09-23,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3483944/#/pdm/3483944
12,projects,H029002 VODILNI STROKOVNI SODELAVEC Z DOKTORATOM - DELO NA PROJEKTU - M/Ž,NARODNA IN UNIVERZITETNA KNJIŽNICA,LJUBLJANA,onsite,part-time,senior,projects,zrsz,2026-09-01,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3470819/#/pdm/3470819
12,events,Sodelavec v Marketinških dogodkih in projektih (m/ž),"Krka, tovarna zdravil, d. d., Novo mesto",Ljubljana,onsite,unknown,unknown,events,mojedelo,2026-09-16,https://www.mojedelo.com/job-ad/sodelavec-v-marketinskih-dogodkih-in-projektih-m-z/3591a4e1-9bb1-475f-b920-24fac429aac2
